firm production in tradable sector,"q_{x,t}=A_{x,t}\\left({z^e}_{t-1}\\right)^{\\psi_{x}}\\left(k_{x,t-1}\\right)^{\\alpha_{x}}\\left(L_{x,t}\\right)^{1-\\alpha_{x}}"
firm production in non-tradable sector,"q_{n,t}=A_{n,t}\\left({z^e}_{t-1}\\right) ^{\\psi_{n}}\\left( k_{n,t-1}\\right)^{\\alpha_{n}}\\left( L_{n,t}\\right)^{1-\\alpha_{n}}"
firm productivity in tradable sector,"A_{x,t}=a_{x}\\left( \\frac{{q^{I}}_{x,t-1}}{\\bar{q^{I}}_{x}}\\right) ^{\\sigma_{x}}\\left( {k^{I}}_{x,t-1}\\right) ^{\\xi_{x}}"
firm productivity in non-tradable sector,"A_{n,t}=a_{n}\\left( \\frac{{q^{I}}_{n,t-1}}{\\bar{q^{I}}_{n}}\\right)^{\\sigma_{n}}\\left( {k^{I}}_{n,t-1}\\right) ^{\\xi_{n}}"
supply price of private capital,"P_{k,t}=P_{mm,t}+a_{k}P_{n,t}"
supply price of public capital,"P_{z,t}=P_{mm,t}+a_{z}P_{n,t}"
marginal product of labor in non-tradable sector,"P_{n,t}(1-\\alpha_{n})\\frac{q_{n,t}}{L_{n,t}}=w_{t}"
marginal product of labor in tradable sector,"P_{x,t}(1-\\alpha_{x})\\frac{q_{x,t}}{L_{x,t}}=w_{t}"
marginal product of capital in non-tradable sector,"P_{n,t}\\alpha_{n}\\frac{q_{n,t}}{k_{n,t-1}}=r_{n,t}"
marginal product of capital in tradable sector,"P_{x,t}\\alpha_{x}\\frac{q_{x,t}}{k_{x,t-1}}=r_{x,t}"
constant elasticity of substitution consumption basket,"{c^{i}}_{t}=\\left[ \\rho_{x}^{\\frac{1}{\\epsilon }}\\left( {c^{i}}_{x,t}\\right) ^{\\frac{\\epsilon-1}{\\epsilon}}+\\rho_{m}^{\\frac{1}{\\epsilon }}\\left({c^{i}}_{m,t}\\right) ^{\\frac{\\epsilon-1}{\\epsilon}}+(\\rho_{n})^{\\frac{1}{\\epsilon }}\\left( {c^{i}}_{n,t}\\right) ^{\\frac{\\epsilon -1}{\\epsilon }}\\right]^{^{\\frac{\\epsilon }{\\epsilon -1}}}\\text{ \\ \\ \\ for }i=\\mathfrak{s},\\mathfrak{h}"
relative consumer price index,"P_{t}=\\left[ \\rho_{x}P_{x,t}^{1-\\epsilon }+\\rho_{m}P_{m,t}^{1-\\epsilon }+\\rho_{n}P_{n,t}^{1-\\epsilon }\\right] ^{^{\\frac{1}{1-\\epsilon }}}"
demand function for goods,"{c^{i}}_{j,t}=\\rho _{j}\\left( \\frac{P_{j,t}}{P_{t}}\\right) ^{-\\epsilon} {c^{i}}_{t}\\text{ \\ for $j=x,m,n$ and $i=\\mathfrak{s},\\mathfrak{h}$ }"
