tau     ,\\tau,0.34,intertemporal elasticity of substitution,18,"According to Agenor and Montiel (1999), most estimates of this parameter for LDCs lie between 0.10 and 0.50. The value in the base case, 0.34, equals the average estimate for LICs in Ogaki et al. (1996)."
epsilon ,\\epsilon,0.5,intratemporal elasticity of substitution across goods,"10,11,12,42","We fix the elasticity of substitution in comsumption at 0.50 as estimates of compensated elasticities of demand tend to be small at high levels of aggregation, especially when food claims a large share of total consumption."
alpha_n      ,\\alpha_{n},0.55,capital’s share in value added in the non-traded sector,"1,6,8","Data on factor shares may be found in social accounting matrices assembled by the Global Trade Analysis Project (GTAP) and the International Food Policy Research Institute (IFPRI). The GTAP5 database for SSA suggests a capital share of 55 - 60% in the non-tradables sector and 35 - 40% in the tradables sector. The data in Thurlow et al. (2004) and Perrault et al. (2010) suggest similar numbers. Accordingly, we set the parameter to 0.55 in the non-traded sector and 0.40 in the traded sector."
alpha_x      ,\\alpha_{x},0.4,capital’s share in value added in the traded sector,"0,7,9","Data on factor shares may be found in social accounting matrices assembled by the Global Trade Analysis Project (GTAP) and the International Food Policy Research Institute (IFPRI). The GTAP5 database for SSA suggests a capital share of 55 - 60% in the non-tradables sector and 35 - 40% in the tradables sector. The data in Thurlow et al. (2004) and Perrault et al. (2010) suggest similar numbers. Accordingly, we set the parameter to 0.55 in the non-traded sector and 0.40 in the traded sector."
xi_n    ,\\xi_{n},0,capital learning externalities (traded sector),3,"The base case does not incorporate learning externalities. In alternative runs that allow for learning effects, the output learning externalities are set to 0.08 so that the social return to capital in the traded sector is about 30% higher than the private return."
xi_x    ,\\xi_{x},0,capital learning externalities (non-traded sector),2,"The base case does not incorporate learning externalities. In alternative runs that allow for learning effects, the output learning externalities are set to 0.08 so that the social return to capital in the traded sector is about 30% higher than the private return."
sigma_n ,\\sigma_{n},0,sectoral output learning externalities (non-traded),3,"The base case does not incorporate learning externalities. In alternative runs that allow for learning effects, the output learning externalities are set to 0.08 so that the social return to capital in the traded sector is about 30% higher than the private return."
sigma_x ,\\sigma_{x},0,sectoral output learning externalities (traded),2,"The base case does not incorporate learning externalities. In alternative runs that allow for learning effects, the output learning externalities are set to 0.08 so that the social return to capital in the traded sector is about 30% higher than the private return."
alpha_k ,\\alpha_{k},0.5,cost share of non-traded inputs in the production of private capital,4,Data on the ratio of imported machinery and equipment to aggregate investment indicate that the cost share parameters are around 0.5 in SSA. One-half is also the guesstimate used by the IMF (2007a) in its analysis of scaling up public investment in Nigeria.
alpha_z ,\\alpha_{z},0.5,cost share of non-traded inputs in the production of public capital,5,Data on the ratio of imported machinery and equipment to aggregate investment indicate that the cost share parameters are around 0.5 in SSA. One-half is also the guesstimate used by the IMF (2007a) in its analysis of scaling up public investment in Nigeria.
